Time Recorded,Total Apps,Store Entry Used,,,
12/9/2016 13:30,518,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,
,,,,,
Steam App ID,Game Name,Price,Release Date,Review Percentage,Review Count
465310,Ricerca VR,0.99,3-May-16,82%,23
466900,Hide & Spook: The Haunted Alchemist,0,28-Oct-16,100%,5
471160,Galaxy Golf,4.99,24-Aug-16,92%,14
467890,Garage Drummer VR,5.99,21-Jun-16,81%,22
490490,Blasters of the Universe,14.99,14-Jul-16,80%,26
490170,Mind OVR Matter,2.99,20-Jun-16,91%,12
488150,Octoshield VR,4.99,14-Jun-16,82%,23
488590,Armed Against the Undead,19.99,17-Jun-16,88%,25
487730,Hat Trick Header,9.99,4-Oct-16,100%,4
496080,"Space, VR!",5,26-Jul-16,100%,1
500360,VRMultigames,9.99,25-Jul-16,90%,43
499540,Wake Up,0,9-Aug-16,93%,46
491100,"Human, we have a problem",4.99,5-Jul-16,100%,2
493410,Steampuff: Phinnegan's Factory,9.99,28-Jul-16,82%,17
495030,VR Battle Grid,0,8-Nov-16,94%,17
506170,Ballanced,4.99,13-Sep-16,90%,11
511570,NIGHTSTAR,14.99,18-Aug-16,100%,18
512110,Cosmos Crash VR,9.99,1-Sep-16,100%,11
465310,Ricerca VR,0.99,3-May-16,82%,23
466900,Hide & Spook: The Haunted Alchemist,0,28-Oct-16,100%,5
471160,Galaxy Golf,4.99,24-Aug-16,92%,14
485110,PlanetFate,4.99,6-Jun-16,86%,15
457340,Dimensional,4.99,1-Jul-16,90%,21
457770,Audio Arena,6.99,25-Jul-16,93%,16
459870,VIRTUAnimator,9.99,9-May-16,80%,5
490490,Blasters of the Universe,14.99,14-Jul-16,80%,26
490170,Mind OVR Matter,2.99,20-Jun-16,91%,12
491100,"Human, we have a problem",4.99,5-Jul-16,100%,2
467890,Garage Drummer VR,5.99,21-Jun-16,81%,22
466720,Vintage VR,0,2-May-16,90%,32
483970,Directionless,0.99,31-May-16,86%,44
488150,Octoshield VR,4.99,14-Jun-16,82%,23
487730,Hat Trick Header,9.99,4-Oct-16,100%,4
488590,Armed Against the Undead,19.99,17-Jun-16,88%,25
493100,BellyBots,7.99,26-Jul-16,96%,27
517860,Fly to KUMA MAKER,14.99,12-Sep-16,100%,6
523570,Across Flash,2.99,31-Aug-16,100%,2
523720,Unruly Ghouls,9.99,19-Oct-16,100%,6
522020,Blue Effect VR,14.99,29-Sep-16,90%,41
499760,Redswood VR,3.99,18-Aug-16,83%,24
523570,Across Flash,2.99,31-Aug-16,100%,2
523720,Unruly Ghouls,9.99,19-Oct-16,100%,6
524060,Block Wave VR,4.99,9-Sep-16,100%,2
522020,Blue Effect VR,14.99,29-Sep-16,90%,41
517860,Fly to KUMA MAKER,14.99,12-Sep-16,100%,6
520930,Pong It! VR,4.99,19-Sep-16,88%,9
520510,Tribocalypse VR,6.99,23-Sep-16,80%,5
524690,Bitslap,6.99,23-Sep-16,100%,13
525500,Candy Kingdom VR,9.99,20-Sep-16,90%,10
530830,Sophie's Guardian,8.99,21-Oct-16,80%,5
499760,Redswood VR,3.99,18-Aug-16,83%,24
527330,Grave VR,19.99,31-Oct-16,100%,3
528580,Found,0,14-Sep-16,95%,42
527580,PITCH-HIT: BASEBALL,10.99,23-Sep-16,100%,7
498980,DUO,8.99,7-Jul-16,100%,11
560960,Magic Tavern,1.99,23-Nov-16,100%,1
542170,Edmersiv,0,14-Oct-16,88%,9
540050,Nature's Wrath VR,9.99,19-Oct-16,100%,3
543530,Holo Impact : Prologue,14.99,10-Nov-16,94%,19
543600,Monster Maze VR,3.99,19-Oct-16,91%,12
538410,Chicken Chase,2.99,5-Oct-16,100%,2
537920,Supa Kila Monsta Hunta,7.99,6-Oct-16,100%,1
544530,Escape Bloody Mary,3.99,25-Oct-16,80%,10
544510,Organ Quarter Pre-Alpha Demo,0,28-Oct-16,97%,43
549760,Evolution VR,0,10-Nov-16,95%,44
552660,8-Bit Arena VR,1.99,26-Nov-16,100%,2
448710,VirZOOM Arcade,0,30-Jun-16,100%,7
535750,VR Fun World,29.99,21-Nov-16,100%,2
560960,Magic Tavern,1.99,23-Nov-16,100%,1
498980,DUO,8.99,7-Jul-16,100%,11
479000,IrreVRsible,5.99,26-May-16,85%,28
551320,Lord Darydikilkil,1.99,3-Nov-16,83%,6
408340,Grav|Lab - Gravitational Testing Facility & Observations,14.99,20-Oct-16,100%,11
509070,Super VR Trainer,9.99,31-Aug-16,85%,7
528990,Basketball Babe,19.99,2-Oct-16,100%,8
528020,Destroyer,9.99,19-Oct-16,100%,4
562450,Salvage Op,7.99,30-Nov-16,100%,1
516940,MineSweeper VR,3.99,25-Aug-16,83%,12
553590,Hot Squat,0,22-Nov-16,94%,17
534750,The Rise of Captain Longbeard,19.99,19-Oct-16,88%,18
445140,Smell Of Death,15.99,4-Jul-16,80%,45
550520,B. Braun Future Operating Room,0,9-Dec-16,100%,1
462480,Sweet Escape VR,4.99,20-Apr-16,85%,21
523090,Bomb U!,2.99,17-Sep-16,96%,27
506780,Think Space,3.99,26-Jul-16,80%,10
542620,Lonelyland VR,14.99,9-Nov-16,100%,1
497460,Mervils: A VR Adventure,19.99,25-Oct-16,96%,29
518920,Surgeon Simulator: Experience Reality,19.99,5-Dec-16,65%,20
512080,Fancy Skiing VR,7.99,9-Aug-16,78%,74
451650,Whirligig VR Media Player,3.99,3-Apr-16,74%,189
510410,Cogs and Cowboys,5.99,10-Aug-16,73%,15
555230,The table at war VR,19.99,4-Dec-16,66%,3
518720,Overkill VR,19.99,16-Nov-16,74%,51
457380,Storm VR,1.99,24-Sep-16,79%,43
502710,The Last Sniper VR,9.99,3-Aug-16,76%,97
523710,Sword Master VR,9.99,23-Sep-16,73%,83
433630,vrAMP,12.99,27-May-16,71%,32
484350,VRZ Game,8.99,8-Jun-16,72%,115
547810,Sorcerers of Kinetics (VR),14.99,11-Nov-16,75%,12
536530,Marlene Act 1 Betwixt,11.99,25-Oct-16,75%,8
542030,RuneSage,9.99,25-Oct-16,75%,4
460470,Hindenburg VR,12.99,17-Oct-16,71%,7
506550,RollerForce,4.99,14-Sep-16,77%,18
381310,Proton Pulse,8.99,5-Apr-16,72%,11
481420,Final Approach: Pilot Edition,14.99,22-Jun-16,58%,24
443800,Ruckus Ridge VR Party,19.99,5-Apr-16,76%,26
457580,The Visitor,0.99,30-Mar-16,77%,148
519160,Toon Ocean VR,4.99,27-Aug-16,70%,10
412790,Adventure Time: Magic Man's Head Games,4.99,5-Apr-16,76%,80
554700,Viking Escape,3.99,10-Nov-16,75%,4
543350,The Night The Carsons Disappeared,1.99,24-Oct-16,71%,14
384750,EVEREST VR,19.99,2-Aug-16,43%,214
447270,IKEA VR Experience,0,4-Apr-16,78%,205
439260,"BUTTS: The VR Experience""""",0.99,3-Feb-16,72%,40
455440,Spell Fighter VR,0,23-Mar-16,74%,228
392680,Jeeboman,9.99,5-Apr-16,77%,27
401820,FATED: The Silent Oath,9.99,28-Apr-16,71%,67
379670,Technolust,19.99,19-Apr-16,78%,19
439260,"BUTTS: The VR Experience""""",0.99,3-Feb-16,72%,40
447270,IKEA VR Experience,0,4-Apr-16,78%,205
455440,Spell Fighter VR,0,23-Mar-16,74%,228
457660,Andromedum,1.99,18-Apr-16,76%,13
457420,Surgeon Simulator VR: Meet The Medic,0,5-Apr-16,78%,103
469560,Hyper Bowling VR,8.99,11-May-16,70%,10
464940,Sketchfab VR,0,16-May-16,73%,38
450110,Amigdala,5.99,28-Mar-16,70%,20
475520,Holodaze,2.99,19-May-16,70%,10
472720,Car Car Crash Hands On Edition,4.99,5-Jul-16,75%,4
471630,Rexodus: A VR Story Experience,0,8-Jun-16,71%,71
426610,Virtually Live presents Formula E Season Two Highlights,0,27-Sep-16,75%,4
478950,V ARRR,9.99,10-Jun-16,72%,43
504630,Broomball VR,0,26-Jul-16,73%,30
493400,Funfair,0,20-Aug-16,75%,20
492850,Astroderps,8.99,17-Jun-16,72%,11
493620,VR Disc Golf,9.99,18-Jul-16,75%,8
510930,Thirst VR,2.99,10-Aug-16,77%,18
516470,CRAPPY ZOMBIE GAME,4.99,28-Oct-16,75%,8
518610,Live In Color,3.99,11-Sep-16,71%,7
517550,The Enlightened League of Bone Builders and the Osseous Enigma,0,29-Aug-16,75%,12
509360,TRESPASS - Episode 1,15.99,4-Aug-16,73%,46
526270,Adventurous Life VR,14.99,16-Sep-16,75%,4
518610,Live In Color,3.99,11-Sep-16,71%,7
536210,Please State Your Name : A VR Animated Film,0,7-Nov-16,76%,30
543110,Head It!: VR Soccer Heading Game,5.99,19-Oct-16,75%,4
549920,VRchaeology: Prologue,0,1-Dec-16,75%,12
548740,Warpin: Creation (VR),19.99,2-Nov-16,75%,8
542960,Pumpkin SculptrVR,0,21-Oct-16,75%,4
544590,Death Dojo,0,8-Nov-16,70%,30
485230,HALP!,0,1-Aug-16,75%,56
468700,NVIDIA VR Funhouse,0,14-Jul-16,75%,305
461500,Omega Agent,14.99,4-May-16,72%,22
462910,Poly Runner VR,0,18-Apr-16,78%,46
538950,Plenty: Skyhearth,0,20-Oct-16,75%,12
496790,Nothin' But Net,14.99,21-Nov-16,66%,3
551750,Survival VR,2.99,27-Nov-16,66%,6
522200,Loading Human: Chapter 1,39.99,14-Oct-16,40%,10
529500,ALONE? - VR,14.99,7-Oct-16,59%,22
520210,DreamDesk VR,39.99,30-Nov-16,42%,7
511560,World of Golf,4.49,6-Dec-16,61%,13
356180,Time Machine VR,29.99,19-May-16,66%,87
350380,The Martian VR Experience,19.99,15-Nov-16,19%,26
517170,Tvori,19.99,25-Aug-16,66%,9
519030,Don't Let Go!,2.99,13-Sep-16,68%,16
500110,Glider Island,9.99,3-Sep-16,50%,4
510700,Armor Clash VR  [RTS],9.99,9-Aug-16,66%,6
503900,Candy Smash VR,9.99,26-Jul-16,50%,2
491520,Zero-G VR,4.99,16-Jun-16,57%,82
431570,Breakroom,7.99,1-Nov-16,33%,3
510960,Puzzling Rooms VR,7.99,25-Aug-16,0%,0
558740,CRAFT: Work VR Shop Demo,6.99,7-Dec-16,25%,4
488360,Vistascapes VR,2.89,8-Jul-16,44%,25
406410,Minigolf VR,4.99,30-Mar-16,63%,11
