Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
2/22/2018 11:25,1613,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
436320,Raw Data,39.99,5-Oct-17,88%,1,Survios,Survios,"Action, Indie, Strategy","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, VR Support, SteamVR Collectibles, Steam Cloud","VR (60), Action (53), Indie (42), FPS (41), Multiplayer (39), Co-op (33), Strategy (27), Cyberpunk (20), Singleplayer (9), Robots (8), Horror (6), Sci-fi (5), Atmospheric (5), Survival (5)",49,102443 +/- 9847,96009 +/- 9533,93.72%
422860,Holodance,19.99,5-Apr-16,90%,131,narayana games UG,narayana games UG,"Casual, Indie, Sports, Early Access","Single-player, Steam Achievements, Steam Trading Cards, VR Support, Stats, Steam Leaderboards","Early Access (36), Indie (32), Casual (32), Sports (30), Rhythm (19), VR (18), Music (16), Dragons (11), VR Only (1)",3,6681 +/- 2514,5691 +/- 2321,85.18%
520010,Climbey,9.99,25-Oct-16,95%,470,Brian Lindenhof,ShadowBrain Games,"Racing, Simulation, Early Access","Single-player, Multi-player, Online Multi-Player, Online Co-op, Steam Workshop, Includes level editor","Early Access (27), Simulation (24), Racing (23), VR (13), Parkour (8), Multiplayer (5), VR Only (1)",19,28951 +/- 5235,28209 +/- 5167,97.44%
611160,Karnage Chronicles,24.99,24-Apr-17,90%,119,Nordic Trolls,Nordic Trolls,"Action, Adventure, RPG, Early Access","Single-player, Steam Achievements, Steam Cloud","Early Access (62), RPG (56), VR (54), Adventure (47), Action (44), Hack and Slash (32), Action-Adventure (30), Story Rich (21), Action RPG (20)",4,5939 +/- 2371,4701 +/- 2109,79.15%
517160,Richie's Plank Experience,14.99,18-Dec-17,86%,286,Toast,Toast,"Casual, Indie, Simulation",Single-player,"Indie (32), Simulation (32), Casual (22), VR (21), Horror (5), VR Only (1)",86,37117 +/- 5927,35880 +/- 5828,96.67%
451520,theBlu,9.99,5-Apr-16,85%,812,"Wevr, Inc.","Wevr, Inc.","Adventure, Casual, Indie, Simulation",Single-player,"VR (32), Simulation (29), Casual (27), Adventure (25), Indie (25), Underwater (6), VR Only (1)",28,90565 +/- 9258,87843 +/- 9118,96.99%
440630,The Brookhaven Experiment,19.99,5-Jul-16,87%,661,Phosphor Games,Phosphor Games,"Action, Indie","Single-player, Steam Achievements, VR Support","Action (32), Indie (27), VR (23), Horror (22), Shooter (17), Zombies (14), VR Only (1)",27,67058 +/- 7967,59140 +/- 7482,88.19%
555880,Sairento VR,29.99,6-Feb-18,93%,694,"Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd",Mixed Realms Pte Ltd,"Violent, Gore, Action, Indie, RPG, Strategy","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Cloud","Action (43), VR (41), Gore (38), Violent (37), Indie (34), Strategy (31), Cyberpunk (26), RPG (22), Bullet Time (13), Arcade (13), Horror (12), Robots (11), Zombies (11), Female Protagonist (5)",25,34890 +/- 5747,29199 +/- 5257,83.69%
566860,VR Dungeon Knight,19.99,24-Apr-17,91%,313,Blackjard Softworks,Blackjard Softworks,"Violent, Action, Adventure, RPG, Early Access","Single-player, Online Multi-Player, Online Co-op, Shared/Split Screen","Early Access (28), RPG (25), Adventure (24), Action (23), Violent (22), VR (18)",4,10393 +/- 3136,8908 +/- 2904,85.71%
542770,Castle Must Be Mine,14.99,11-Nov-16,97%,179,TheMiddleGray,TheMiddleGray,"Casual, Indie, Simulation, Strategy, Early Access",Single-player,"Early Access (36), Strategy (32), Casual (32), Indie (31), Tower Defense (27), VR (23), Simulation (20)",3,4949 +/- 2164,4207 +/- 1995,85.01%
